Brian McWilliams	51.5177246	-0.1732294
Giovanni Montana	51.5073509	-0.1277583
Zhuang Wang	39.980825	-75.1495788
Slobodan Vucetic	39.980825	-75.1495788
Pauray S. M. Tsai	24.9132859	120.9991032
Changseok Bae	-30.4730963	149.6612155
Yuk Ying Chung	-30.4730963	149.6612155
Sin-Long Liu	43.1225229	-77.6665722
Benoít Naegel	46.2043907	6.1431577
Laurent Wendling	43.5609901	1.4630574
Stefano Scanzio	45.054478	7.6579399
Sandro Cumani	45.06284	7.66309
P. Laface	45.054478	7.6579399
Loïc Paulevé	48.0441162	-1.7479239
Laurent Amsaleg	48.837144	2.1107619
Dan Kelly	53.3812896	-6.5918499
Charles Markham	53.2847921	-9.0654626
Jordi Sanchez-Riera	46.1049798	7.0755334
I. Álvarez Illán	36.9879139	-3.5663073
J. M. Górriz	36.9879139	-3.5663073
Diego Salas-Gonzalez	36.9879139	-3.5663073
Míriam López	37.1773363	-3.5985571
Fermín Segovia	37.1773363	-3.5985571
P. Padilla	36.9879139	-3.5663073
C. G. Puntonet	36.9879139	-3.5663073
Lifan Liu	31.2974669	121.524883
George D. C. Cavalcanti	-8.8137173	-36.954107
Luís A. Alexandre	40.2777345	-7.507254
Shengjin Wang	39.9990443	116.3246671
Xiao-Qing Ding	40.00069	116.3288579
C. Piciarelli	46.0816493	13.2124291
Mohamed Tahir	24.2005508	55.6968239
Abdelaziz Bensrhair	49.380305	1.108209
Lynda Khalaf	45.3820792	-75.6972839
Dean Fantazzini	45.1847248	9.1582069
J. E. Griffin	51.2985733	1.0700043
Mark F. J. Steel	52.379411	-1.563191
Matei Demetrescu	50.1703746	8.6293081
Francesco Audrino	46.0107307	8.9581316
María Concepción Ausín	42.6857433	-8.9907938
Hedibert Freitas Lopes	41.8781136	-87.6297982
Walid Ben Omrane	45.5016889	-73.567256
Erick Rengifo	40.8621792	-73.88601
Jan Beran	47.6779496	9.1732384
Martin Schützner	47.6779496	9.1732384
Zhongfang He	43.6503577	-79.3869921
John M. Maheu	43.6660753	-79.3998331
George Kapetanios	51.5234103	-0.0405323
Irma Hindrayanto	52.3702157	4.8951679
Leonardo Morales-Arias	54.33883	10.15638
M. Lyra	50.5840512	8.6784031
J. Paha	50.5840512	8.6784031
S. Paterlini	44.6989932	10.6296859
Yasuhiro Omori	31.767879	-106.440736
E. Rossi	45.1847248	9.1582069
Stefan Sperlich	40.3082504	-3.7323934
F. Spazzini	45.4657931	9.2026631
Andrés M. Alonso	40.4167754	-3.7037902
D A Belsley	42.044057	-71.0588328
Erricos John Kontoghiorghes	31.767879	-106.440736
